model,l1_C,cv_auc_mean,cv_auc_std,folds
SVM-rbf C=10.0 gamma=0.001,0.01,0.7487,0.0427,"[0.7072, 0.7044, 0.7407, 0.8174, 0.7739]"
SVM-linear C=1.0,0.01,0.7486,0.042,"[0.7075, 0.7053, 0.7402, 0.8161, 0.7739]"
SVM-linear C=0.1,0.01,0.7485,0.0426,"[0.7075, 0.7036, 0.7407, 0.8168, 0.7739]"
SVM-rbf C=10.0 gamma=0.01,0.3,0.7485,0.0274,"[0.7087, 0.7436, 0.7503, 0.7947, 0.7451]"
SVM-linear C=0.1,0.1,0.7482,0.0227,"[0.7114, 0.7511, 0.7629, 0.7779, 0.7374]"
LR C=0.1,3.0,0.7478,0.0166,"[0.7161, 0.7485, 0.7609, 0.761, 0.7525]"
SVM-rbf C=1.0 gamma=0.01,1.0,0.7476,0.024,"[0.7183, 0.748, 0.7504, 0.7896, 0.7319]"
SVM-rbf C=10.0 gamma=0.01,0.01,0.7472,0.0441,"[0.7036, 0.7007, 0.7406, 0.8171, 0.7739]"
LR C=0.1,1.0,0.7459,0.0132,"[0.725, 0.745, 0.7619, 0.7398, 0.7576]"
LGBM n=300 lr=0.05 leaves=15,0.03,0.7452,0.0257,"[0.7246, 0.7077, 0.755, 0.7588, 0.7796]"
SVM-rbf C=10.0 gamma=scale,1.0,0.743,0.019,"[0.7144, 0.7347, 0.7694, 0.7575, 0.739]"
SVM-rbf C=10.0 gamma=scale,3.0,0.743,0.0124,"[0.7272, 0.739, 0.7521, 0.7619, 0.7349]"
SVM-rbf C=10.0 gamma=0.001,3.0,0.7429,0.0137,"[0.7221, 0.7315, 0.7562, 0.7489, 0.7557]"
SVM-rbf C=10.0 gamma=0.01,1.0,0.7405,0.0279,"[0.6995, 0.7335, 0.7523, 0.7848, 0.7322]"
SVM-rbf C=0.1 gamma=scale,0.01,0.7401,0.0282,"[0.7198, 0.7125, 0.7391, 0.793, 0.736]"
SVM-rbf C=1.0 gamma=scale,0.01,0.7398,0.0242,"[0.715, 0.7207, 0.7562, 0.779, 0.7281]"
LR C=1.0,0.1,0.7398,0.024,"[0.7074, 0.7482, 0.7453, 0.7769, 0.721]"
SVM-rbf C=10.0 gamma=scale,0.3,0.7398,0.0216,"[0.7032, 0.7344, 0.7506, 0.769, 0.7418]"
LGBM n=300 lr=0.1 leaves=15,0.03,0.7391,0.0203,"[0.7246, 0.7126, 0.7383, 0.748, 0.7718]"
LGBM n=300 lr=0.1 leaves=31,0.03,0.7389,0.0275,"[0.713, 0.7041, 0.7405, 0.7598, 0.7772]"
SVM-rbf C=10.0 gamma=scale,0.1,0.7374,0.0269,"[0.6928, 0.7473, 0.7393, 0.7761, 0.7315]"
LGBM n=300 lr=0.05 leaves=31,0.03,0.737,0.0283,"[0.7038, 0.7056, 0.7438, 0.7564, 0.7756]"
SVM-rbf C=10.0 gamma=0.01,0.1,0.737,0.0266,"[0.6892, 0.7479, 0.7391, 0.7708, 0.7379]"
SVM-rbf C=0.1 gamma=0.01,3.0,0.737,0.016,"[0.7224, 0.728, 0.7311, 0.7679, 0.7357]"
LR C=10.0,0.1,0.7368,0.025,"[0.7046, 0.7463, 0.7407, 0.7762, 0.716]"
SVM-linear C=1.0,0.1,0.7368,0.028,"[0.7039, 0.7396, 0.7532, 0.779, 0.7086]"
