feature,median_rel_drift
wavelet-HHL_firstorder_RootMeanSquared,0.2169683738958045
wavelet-LHH_gldm_DependenceEntropy,0.21705741058105327
log-sigma-5-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.217059614000982
log-sigma-5-0-mm-3D_glrlm_GrayLevelVariance,0.21705961400098206
log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.21805264743149966
log-sigma-4-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.22105646398698212
original_glrlm_LongRunEmphasis,0.22193065081004826
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.222149997090613
wavelet-LLH_glcm_MaximumProbability,0.22215034376855522
original_glrlm_RunPercentage,0.22261038915584247
original_glszm_GrayLevelVariance,0.2230398368621065
original_glszm_GrayLevelNonUniformityNormalized,0.22303983686210663
original_glszm_GrayLevelNonUniformity,0.22330711513468077
wavelet-LLL_gldm_LargeDependenceEmphasis,0.22345874751436515
wavelet-HHL_glszm_ZoneVariance,0.22422520062085213
wavelet-HLH_firstorder_Range,0.22474002117836633
log-sigma-4-0-mm-3D_glcm_Imc2,0.22543209299146633
log-sigma-5-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.22553113093061888
wavelet-HLH_firstorder_Maximum,0.2271712035461607
wavelet-HLL_gldm_DependenceEntropy,0.22781963399279653
wavelet-LHH_glcm_Imc1,0.22866057109600424
wavelet-LHH_glcm_DifferenceEntropy,0.22866404271488427
original_glcm_ClusterProminence,0.2288566729778543
wavelet-LLH_gldm_DependenceEntropy,0.23209021903625934
log-sigma-3-0-mm-3D_glcm_SumAverage,0.23298765375641264
log-sigma-3-0-mm-3D_glcm_JointAverage,0.23298765375641284
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.23336297770718545
wavelet-LHH_glcm_DifferenceVariance,0.23484763510460466
log-sigma-3-0-mm-3D_glcm_ClusterShade,0.2353153644108748
log-sigma-5-0-mm-3D_glcm_MCC,0.23635580170817158
log-sigma-5-0-mm-3D_glcm_Correlation,0.23635580170824189
original_shape_Maximum2DDiameterRow,0.2365007783274954
log-sigma-5-0-mm-3D_ngtdm_Coarseness,0.23659213147472885
wavelet-LHH_glcm_JointEntropy,0.23743805078118219
wavelet-LHH_glcm_JointEnergy,0.2385765506393396
log-sigma-3-0-mm-3D_glcm_Autocorrelation,0.23909316899980648
log-sigma-3-0-mm-3D_glcm_SumSquares,0.2393761162014056
log-sigma-3-0-mm-3D_firstorder_Mean,0.23950318127022996
log-sigma-3-0-mm-3D_firstorder_10Percentile,0.24172757919658078
wavelet-HHL_glcm_Idmn,0.2419114217463172
wavelet-HHL_glcm_DifferenceAverage,0.24191142174632677
wavelet-HHL_glcm_Contrast,0.24191142174632677
wavelet-HHL_glcm_InverseVariance,0.24191142174632677
wavelet-HHL_glcm_Idn,0.24191142174633337
wavelet-HHL_glcm_Idm,0.24191142174634878
wavelet-HHL_glcm_Id,0.24191142174634878
original_shape_Maximum3DDiameter,0.2421979607291147
log-sigma-3-0-mm-3D_glcm_ClusterTendency,0.24256712457324822
wavelet-LHL_firstorder_InterquartileRange,0.24272228290290881
wavelet-LHL_glcm_ClusterProminence,0.24490293243204278
wavelet-HLH_firstorder_Energy,0.24493893911040626
wavelet-HLH_firstorder_TotalEnergy,0.24493893911040632
wavelet-HHL_glcm_Correlation,0.24573699125374776
wavelet-LLL_glrlm_LongRunEmphasis,0.24635752535730443
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.24671470092945133
wavelet-LHL_glcm_InverseVariance,0.2472060820644761
wavelet-LHL_glcm_Contrast,0.2472060820644761
wavelet-LHL_glcm_DifferenceAverage,0.2472060820644761
wavelet-LHL_glcm_Idm,0.24720608206447953
wavelet-LHL_glcm_Id,0.24720608206447953
wavelet-LHL_glcm_Idn,0.24720608206447953
wavelet-LHL_glcm_Idmn,0.24720608206448547
wavelet-LHL_glcm_Correlation,0.24779100528925446
wavelet-LHL_glcm_ClusterTendency,0.24807184318183068
wavelet-HHL_glcm_ClusterTendency,0.24839588668789928
log-sigma-3-0-mm-3D_gldm_LowGrayLevelEmphasis,0.24866057551322263
log-sigma-3-0-mm-3D_gldm_HighGrayLevelEmphasis,0.2486605755132228
wavelet-HHL_glcm_ClusterProminence,0.24868135976025915
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.2510053357627562
log-sigma-5-0-mm-3D_glcm_Imc1,0.25133158015563056
wavelet-HLL_firstorder_Variance,0.25291708413922553
wavelet-LHH_gldm_DependenceVariance,0.2558520845580132
log-sigma-5-0-mm-3D_ngtdm_Busyness,0.25594686406617384
wavelet-LLL_glrlm_RunPercentage,0.2560123608904127
log-sigma-3-0-mm-3D_glcm_MaximumProbability,0.25614295461474174
wavelet-LHL_ngtdm_Complexity,0.2563410053187925
wavelet-LHL_ngtdm_Contrast,0.25807881501785956
wavelet-HHH_glcm_Imc2,0.25901119330295136
wavelet-LLH_firstorder_Range,0.25963994762638964
log-sigma-3-0-mm-3D_glcm_SumEntropy,0.2597256305668695
log-sigma-3-0-mm-3D_glcm_JointEnergy,0.2602891311939123
wavelet-HHH_glcm_MaximumProbability,0.2616219693639504
log-sigma-1-0-mm-3D_glcm_ClusterShade,0.2618871093719773
wavelet-HLH_gldm_DependenceVariance,0.26232460965092946
wavelet-HHH_glcm_MCC,0.26309063102691943
log-sigma-1-0-mm-3D_glcm_Imc2,0.265046137039193
log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.26518865598969266
wavelet-HLL_gldm_DependenceVariance,0.26557216143771123
original_glrlm_RunLengthNonUniformity,0.2658164942264004
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis,0.2666668008884213
wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.2666668169204399
log-sigma-5-0-mm-3D_glrlm_GrayLevelNonUniformity,0.2671783045212195
wavelet-LLH_firstorder_Minimum,0.2671896020590156
wavelet-LLH_firstorder_Kurtosis,0.2672044882890128
original_shape_SurfaceArea,0.26723672208080607
wavelet-HLH_ngtdm_Contrast,0.2676887966596099
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.26786857674705966
wavelet-LLL_glrlm_GrayLevelVariance,0.26786857674706055
wavelet-HLL_firstorder_90Percentile,0.2680328189306302
original_glrlm_RunVariance,0.2689478479817452
log-sigma-3-0-mm-3D_firstorder_Uniformity,0.26925652997734595
log-sigma-3-0-mm-3D_gldm_GrayLevelVariance,0.2692565299773465
wavelet-LHL_gldm_DependenceEntropy,0.2699480323481268
wavelet-HLH_glcm_InverseVariance,0.27086027515977196
wavelet-HLH_glcm_Contrast,0.27086027515977196
wavelet-HLH_glcm_DifferenceAverage,0.27086027515977196
wavelet-HLH_glcm_Idm,0.27086027515977684
wavelet-HLH_glcm_Id,0.27086027515977684
wavelet-HLH_glcm_Idn,0.27086027515978617
wavelet-HLH_glcm_Idmn,0.2708602751598187
wavelet-HLH_ngtdm_Complexity,0.2711598228259712
original_glrlm_LongRunLowGrayLevelEmphasis,0.2713264650128785
original_shape_Maximum2DDiameterColumn,0.27177390123448475
log-sigma-3-0-mm-3D_firstorder_Entropy,0.2718282316949103
wavelet-HHH_glcm_DifferenceVariance,0.27221724454118906
wavelet-LLL_glrlm_RunLengthNonUniformity,0.27269418303724163
wavelet-HLH_glcm_Correlation,0.27356731778638843
log-sigma-2-0-mm-3D_firstorder_Median,0.27366863814438297
wavelet-HHH_glcm_JointEnergy,0.2738114612003195
wavelet-HLH_glcm_ClusterProminence,0.27416050148204285
wavelet-HHL_ngtdm_Contrast,0.27431380370639774
wavelet-HHL_ngtdm_Complexity,0.2749534712493755
wavelet-LLL_glcm_Imc2,0.2760192878286335
log-sigma-3-0-mm-3D_glcm_JointEntropy,0.2765296804398438
log-sigma-1-0-mm-3D_glcm_ClusterTendency,0.27779489019596776
wavelet-HLH_glcm_ClusterTendency,0.27785540152549526
wavelet-HHH_glcm_Imc1,0.27822568453158114
wavelet-HHH_glcm_JointEntropy,0.27835640084939867
wavelet-HHH_glcm_DifferenceEntropy,0.27842302302850636
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.2792620933147348
wavelet-LHL_gldm_DependenceVariance,0.2795643600811528
log-sigma-1-0-mm-3D_glcm_Idmn,0.2796816450303533
log-sigma-1-0-mm-3D_glcm_Idm,0.27968164503036774
log-sigma-1-0-mm-3D_glcm_Id,0.27968164503036774
log-sigma-1-0-mm-3D_glcm_InverseVariance,0.2796816450303749
log-sigma-1-0-mm-3D_glcm_DifferenceAverage,0.2796816450303749
log-sigma-1-0-mm-3D_glcm_Contrast,0.2796816450303749
log-sigma-1-0-mm-3D_glcm_Idn,0.2796816450303909
log-sigma-2-0-mm-3D_firstorder_10Percentile,0.28062827197220186
original_shape_Maximum2DDiameterSlice,0.2813955578732098
wavelet-HHL_firstorder_Kurtosis,0.28198714397655644
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.2821478120020416
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.2821749303510417
wavelet-LHL_glcm_MaximumProbability,0.2828826457042131
log-sigma-3-0-mm-3D_firstorder_RootMeanSquared,0.28303889551542877
log-sigma-3-0-mm-3D_ngtdm_Contrast,0.283040889825494
log-sigma-4-0-mm-3D_glcm_DifferenceVariance,0.28392069260241354
log-sigma-1-0-mm-3D_glcm_Correlation,0.2857382326994439
log-sigma-1-0-mm-3D_glcm_MCC,0.2857382326994442
wavelet-LHL_gldm_DependenceNonUniformityNormalized,0.28623541645203426
log-sigma-4-0-mm-3D_glcm_Contrast,0.2873418980049446
log-sigma-4-0-mm-3D_glcm_InverseVariance,0.2873418980049446
log-sigma-4-0-mm-3D_glcm_DifferenceAverage,0.2873418980049446
log-sigma-4-0-mm-3D_glcm_Id,0.2873418980049472
