model,l1_C,cv_auc_mean,cv_auc_std,folds
LR C=0.01,0.3,0.7351,0.0409,"[0.6703, 0.7236, 0.7306, 0.7945, 0.7566]"
SVM-linear C=0.1,0.01,0.7349,0.0354,"[0.6927, 0.7043, 0.7296, 0.7896, 0.7582]"
SVM-linear C=1.0,0.01,0.7349,0.0354,"[0.6926, 0.7043, 0.7297, 0.7896, 0.7582]"
SVM-linear C=10.0,0.01,0.7349,0.0354,"[0.6926, 0.7043, 0.7297, 0.7896, 0.7582]"
SVM-rbf C=10.0 gamma=0.001,0.01,0.7348,0.0354,"[0.6926, 0.7043, 0.7299, 0.7896, 0.7578]"
SVM-rbf C=0.1 gamma=0.001,0.01,0.7347,0.0354,"[0.6928, 0.7043, 0.7296, 0.7901, 0.757]"
SVM-rbf C=1.0 gamma=0.01,0.01,0.7347,0.0355,"[0.6923, 0.7041, 0.7297, 0.7896, 0.758]"
SVM-rbf C=1.0 gamma=0.001,0.01,0.7346,0.0353,"[0.6926, 0.7044, 0.7297, 0.7901, 0.756]"
SVM-linear C=0.01,0.01,0.7345,0.0352,"[0.6927, 0.7042, 0.7297, 0.7896, 0.7563]"
SVM-rbf C=0.1 gamma=0.01,0.01,0.7345,0.0352,"[0.6925, 0.7043, 0.7297, 0.7895, 0.7564]"
SVM-rbf C=0.1 gamma=0.01,1.0,0.7342,0.0398,"[0.6792, 0.7285, 0.7115, 0.7966, 0.7552]"
SVM-rbf C=1.0 gamma=scale,0.1,0.734,0.0379,"[0.6771, 0.7499, 0.7093, 0.7882, 0.7456]"
LR C=0.01,0.01,0.7331,0.0344,"[0.6926, 0.7043, 0.7297, 0.7896, 0.7494]"
LR C=0.1,0.01,0.7322,0.0341,"[0.6926, 0.7043, 0.7297, 0.7896, 0.7449]"
LR C=1.0,0.01,0.7319,0.034,"[0.6926, 0.7043, 0.7297, 0.7896, 0.7435]"
LR C=10.0,0.01,0.7319,0.034,"[0.6926, 0.7043, 0.7297, 0.7896, 0.7433]"
LGBM n=300 lr=0.1 leaves=31,0.3,0.7315,0.0299,"[0.6817, 0.7345, 0.7185, 0.7641, 0.7589]"
LGBM n=300 lr=0.05 leaves=31,0.3,0.7301,0.0269,"[0.6952, 0.7164, 0.7173, 0.7697, 0.7518]"
SVM-rbf C=1.0 gamma=0.01,3.0,0.7289,0.0485,"[0.659, 0.7429, 0.6981, 0.8036, 0.7411]"
LGBM n=300 lr=0.05 leaves=15,0.3,0.7283,0.0275,"[0.6872, 0.7123, 0.7297, 0.7684, 0.7436]"
LGBM n=300 lr=0.1 leaves=15,0.3,0.7276,0.029,"[0.692, 0.7126, 0.715, 0.7759, 0.7426]"
SVM-rbf C=10.0 gamma=0.001,0.1,0.7255,0.0378,"[0.661, 0.7162, 0.7233, 0.766, 0.7608]"
SVM-rbf C=1.0 gamma=0.01,1.0,0.7249,0.0438,"[0.6569, 0.7335, 0.704, 0.7901, 0.74]"
SVM-rbf C=1.0 gamma=scale,0.01,0.7242,0.0261,"[0.6995, 0.6927, 0.7231, 0.7614, 0.7445]"
SVM-linear C=0.01,0.3,0.7242,0.0377,"[0.6689, 0.7121, 0.7121, 0.7811, 0.7468]"
SVM-linear C=0.01,1.0,0.7205,0.0362,"[0.6615, 0.7099, 0.7243, 0.7728, 0.7342]"
SVM-linear C=0.01,3.0,0.7205,0.0372,"[0.6639, 0.7144, 0.7085, 0.7771, 0.7386]"
LGBM n=300 lr=0.05 leaves=31,0.1,0.7197,0.0231,"[0.6867, 0.72, 0.7031, 0.7508, 0.7381]"
LGBM n=300 lr=0.1 leaves=31,0.1,0.7195,0.0255,"[0.6872, 0.7229, 0.6935, 0.7492, 0.7447]"
SVM-rbf C=10.0 gamma=0.01,3.0,0.7146,0.0488,"[0.6419, 0.7364, 0.6868, 0.7878, 0.7203]"
LGBM n=300 lr=0.05 leaves=15,0.1,0.7143,0.0227,"[0.6776, 0.7145, 0.7038, 0.7366, 0.7392]"
LGBM n=300 lr=0.1 leaves=15,0.1,0.714,0.0239,"[0.6839, 0.7048, 0.6971, 0.7407, 0.7435]"
SVM-rbf C=10.0 gamma=0.01,1.0,0.7114,0.0461,"[0.6354, 0.7258, 0.6907, 0.7732, 0.7317]"
SVM-rbf C=10.0 gamma=0.001,0.3,0.7097,0.0345,"[0.6608, 0.681, 0.7255, 0.7576, 0.7236]"
SVM-linear C=0.1,0.1,0.7096,0.0359,"[0.6405, 0.7178, 0.7159, 0.7308, 0.743]"
SVM-rbf C=10.0 gamma=0.001,1.0,0.7091,0.0318,"[0.6593, 0.6891, 0.7221, 0.7515, 0.7234]"
SVM-rbf C=10.0 gamma=0.001,3.0,0.709,0.0399,"[0.6487, 0.6836, 0.7221, 0.7663, 0.7245]"
LR C=0.1,0.1,0.7081,0.035,"[0.6427, 0.7091, 0.7123, 0.7407, 0.7357]"
SVM-rbf C=10.0 gamma=0.01,0.3,0.7075,0.0207,"[0.6704, 0.7092, 0.7105, 0.7344, 0.7129]"
SVM-rbf C=10.0 gamma=scale,0.01,0.7073,0.0293,"[0.6926, 0.6656, 0.7082, 0.755, 0.7151]"
LGBM n=300 lr=0.05 leaves=15,0.03,0.7056,0.0363,"[0.6434, 0.7458, 0.6885, 0.7207, 0.7295]"
LGBM n=300 lr=0.05 leaves=31,0.03,0.7048,0.0319,"[0.6515, 0.7434, 0.6906, 0.7111, 0.7276]"
SVM-rbf C=10.0 gamma=scale,3.0,0.7039,0.0402,"[0.6473, 0.6976, 0.6832, 0.7672, 0.7244]"
SVM-linear C=1.0,0.1,0.7032,0.038,"[0.6289, 0.7103, 0.7173, 0.725, 0.7345]"
