model,l1_C,cv_auc_mean,cv_auc_std,folds
SVM-rbf C=0.1 gamma=0.01,0.3,0.8233,0.0264,"[0.8176, 0.7981, 0.8386, 0.8662, 0.7962]"
SVM-linear C=0.1,0.1,0.8231,0.0193,"[0.8022, 0.8115, 0.8491, 0.8436, 0.8093]"
LGBM n=300 lr=0.05 leaves=15,1.0,0.823,0.0258,"[0.8121, 0.8021, 0.8137, 0.874, 0.8133]"
RF n=1000 depth=10,0.03,0.8229,0.0272,"[0.8062, 0.801, 0.8289, 0.8737, 0.8047]"
SVM-rbf C=0.1 gamma=scale,1.0,0.8226,0.0271,"[0.8186, 0.806, 0.8219, 0.873, 0.7937]"
LGBM n=300 lr=0.05 leaves=31,1.0,0.8226,0.0263,"[0.8108, 0.8055, 0.821, 0.8737, 0.8022]"
RF n=1000 depth=None,0.03,0.8225,0.0273,"[0.8028, 0.8023, 0.826, 0.8743, 0.8073]"
RF n=500 depth=None,0.03,0.8224,0.0268,"[0.8054, 0.8003, 0.8278, 0.8726, 0.8062]"
RF n=500 depth=10,0.03,0.8223,0.0281,"[0.8043, 0.7998, 0.8301, 0.8742, 0.8033]"
LGBM n=300 lr=0.1 leaves=31,0.1,0.8217,0.0193,"[0.8109, 0.8067, 0.8219, 0.8588, 0.81]"
LGBM n=300 lr=0.1 leaves=15,0.1,0.8197,0.0149,"[0.8168, 0.8053, 0.8137, 0.8484, 0.8142]"
LGBM n=300 lr=0.05 leaves=15,0.1,0.8194,0.0201,"[0.8036, 0.8039, 0.8227, 0.8571, 0.8097]"
SVM-rbf C=0.1 gamma=scale,3.0,0.8193,0.0315,"[0.8135, 0.8072, 0.8277, 0.8723, 0.7756]"
SVM-rbf C=10.0 gamma=0.01,0.03,0.8179,0.0125,"[0.8161, 0.8031, 0.8253, 0.8376, 0.8073]"
SVM-linear C=0.01,1.0,0.8175,0.0219,"[0.8085, 0.7981, 0.8397, 0.8473, 0.7938]"
LGBM n=300 lr=0.05 leaves=31,0.1,0.8167,0.0174,"[0.8041, 0.8015, 0.8246, 0.8475, 0.8057]"
SVM-rbf C=10.0 gamma=0.001,1.0,0.8166,0.0319,"[0.8054, 0.8082, 0.8475, 0.8549, 0.7668]"
SVM-linear C=0.01,3.0,0.8166,0.0261,"[0.8063, 0.8034, 0.8409, 0.8518, 0.7806]"
LR C=1.0,0.1,0.8155,0.0189,"[0.8002, 0.7894, 0.8381, 0.8342, 0.8157]"
SVM-rbf C=10.0 gamma=0.001,3.0,0.8149,0.0329,"[0.8031, 0.806, 0.8374, 0.8624, 0.7658]"
SVM-rbf C=1.0 gamma=scale,0.03,0.813,0.0209,"[0.801, 0.8036, 0.8152, 0.8522, 0.7927]"
SVM-rbf C=10.0 gamma=0.01,0.3,0.8118,0.0322,"[0.8215, 0.7817, 0.8402, 0.8487, 0.767]"
LGBM n=300 lr=0.05 leaves=31,0.03,0.8114,0.0296,"[0.7882, 0.7954, 0.7962, 0.8692, 0.8078]"
LR C=10.0,0.1,0.8112,0.0201,"[0.7938, 0.7838, 0.8357, 0.8304, 0.8121]"
SVM-linear C=1.0,0.1,0.8111,0.0192,"[0.7952, 0.7947, 0.841, 0.8268, 0.7979]"
SVM-linear C=10.0,0.1,0.8099,0.0197,"[0.7855, 0.7933, 0.8378, 0.8265, 0.8062]"
LGBM n=300 lr=0.1 leaves=31,0.03,0.8089,0.0263,"[0.7779, 0.8017, 0.8091, 0.8573, 0.7983]"
LGBM n=300 lr=0.05 leaves=15,0.03,0.8076,0.0317,"[0.7773, 0.7884, 0.8062, 0.868, 0.7979]"
LR C=0.1,0.3,0.8065,0.0229,"[0.7981, 0.7978, 0.8361, 0.828, 0.7727]"
SVM-rbf C=10.0 gamma=scale,0.3,0.8065,0.0301,"[0.8191, 0.787, 0.8255, 0.8427, 0.7583]"
SVM-rbf C=10.0 gamma=scale,3.0,0.8064,0.0418,"[0.8162, 0.7865, 0.8441, 0.8492, 0.7357]"
SVM-rbf C=1.0 gamma=0.01,1.0,0.8058,0.0376,"[0.7909, 0.7739, 0.8191, 0.873, 0.772]"
SVM-rbf C=10.0 gamma=scale,1.0,0.8057,0.0387,"[0.8055, 0.7834, 0.8426, 0.8511, 0.7461]"
SVM-rbf C=10.0 gamma=0.01,1.0,0.8057,0.0406,"[0.7935, 0.7696, 0.8337, 0.8697, 0.7621]"
LGBM n=300 lr=0.1 leaves=15,0.03,0.8052,0.0266,"[0.781, 0.7942, 0.8029, 0.8566, 0.7912]"
SVM-rbf C=0.1 gamma=0.01,1.0,0.8044,0.0387,"[0.7938, 0.7588, 0.8034, 0.8759, 0.7901]"
SVM-rbf C=10.0 gamma=0.01,3.0,0.7998,0.0394,"[0.7863, 0.7628, 0.825, 0.8636, 0.7611]"
SVM-rbf C=0.1 gamma=0.01,3.0,0.7982,0.0444,"[0.7815, 0.7491, 0.8091, 0.8783, 0.7733]"
SVM-rbf C=0.1 gamma=0.001,0.01,0.7981,0.0239,"[0.7868, 0.7634, 0.7935, 0.8339, 0.8126]"
SVM-rbf C=1.0 gamma=0.001,0.01,0.7969,0.024,"[0.7836, 0.7638, 0.7922, 0.8343, 0.8109]"
SVM-rbf C=1.0 gamma=0.01,3.0,0.7969,0.0413,"[0.78, 0.7595, 0.8118, 0.8706, 0.7625]"
SVM-rbf C=0.1 gamma=0.01,0.01,0.7968,0.0239,"[0.7838, 0.7632, 0.7928, 0.8338, 0.8104]"
SVM-linear C=0.01,0.01,0.7963,0.025,"[0.7829, 0.7612, 0.792, 0.835, 0.8104]"
LR C=0.1,1.0,0.7959,0.0256,"[0.7879, 0.7761, 0.8244, 0.8272, 0.7639]"
SVM-rbf C=1.0 gamma=0.01,0.01,0.7958,0.0245,"[0.781, 0.7617, 0.7945, 0.8342, 0.8078]"
LR C=0.01,0.01,0.7952,0.0245,"[0.7803, 0.7612, 0.7921, 0.8325, 0.81]"
SVM-rbf C=10.0 gamma=0.001,0.01,0.795,0.025,"[0.7805, 0.7605, 0.7921, 0.8345, 0.8073]"
SVM-linear C=0.1,0.01,0.7946,0.0247,"[0.7814, 0.7602, 0.7916, 0.834, 0.8057]"
SVM-linear C=10.0,0.01,0.7945,0.0258,"[0.7834, 0.7574, 0.7916, 0.836, 0.8041]"
SVM-linear C=1.0,0.01,0.7941,0.0261,"[0.7821, 0.7567, 0.7916, 0.836, 0.804]"
LR C=0.1,3.0,0.7939,0.0264,"[0.788, 0.7655, 0.8215, 0.8279, 0.7668]"
SVM-rbf C=10.0 gamma=0.01,0.01,0.793,0.0301,"[0.7598, 0.7615, 0.8024, 0.841, 0.8]"
LR C=0.1,0.01,0.7919,0.0232,"[0.7774, 0.7595, 0.7918, 0.828, 0.8026]"
SVM-linear C=0.1,0.3,0.7909,0.0215,"[0.7745, 0.7769, 0.8144, 0.8197, 0.7691]"
LR C=1.0,0.01,0.7899,0.023,"[0.7745, 0.7593, 0.7897, 0.827, 0.7991]"
SVM-rbf C=0.1 gamma=scale,0.01,0.7898,0.0164,"[0.7779, 0.7685, 0.7885, 0.8161, 0.7981]"
LR C=10.0,0.01,0.7897,0.0229,"[0.7744, 0.759, 0.7896, 0.8267, 0.7988]"
RF n=500 depth=10,0.01,0.7873,0.0153,"[0.786, 0.7651, 0.7846, 0.8132, 0.7874]"
RF n=1000 depth=10,0.01,0.7873,0.0135,"[0.786, 0.7667, 0.7851, 0.8091, 0.7898]"
SVM-rbf C=10.0 gamma=0.01,0.1,0.787,0.0077,"[0.7959, 0.7779, 0.7966, 0.7827, 0.7817]"
RF n=1000 depth=None,0.01,0.7843,0.0135,"[0.7859, 0.7603, 0.7835, 0.8016, 0.79]"
RF n=500 depth=None,0.01,0.7841,0.014,"[0.7846, 0.7604, 0.7812, 0.8033, 0.7908]"
LR C=1.0,0.3,0.7818,0.021,"[0.7656, 0.772, 0.8106, 0.8031, 0.7578]"
SVM-rbf C=1.0 gamma=scale,0.01,0.7816,0.0286,"[0.7537, 0.7709, 0.7624, 0.8345, 0.7863]"
SVM-rbf C=10.0 gamma=scale,0.1,0.7809,0.0061,"[0.7923, 0.7803, 0.7802, 0.7744, 0.7772]"
SVM-linear C=1.0,0.3,0.7786,0.0212,"[0.7564, 0.7699, 0.8094, 0.7978, 0.7594]"
SVM-rbf C=10.0 gamma=scale,0.03,0.7723,0.0093,"[0.7679, 0.7761, 0.7884, 0.768, 0.7613]"
SVM-rbf C=10.0 gamma=scale,0.01,0.772,0.0286,"[0.7566, 0.7574, 0.7691, 0.8277, 0.749]"
LR C=10.0,0.3,0.7664,0.0204,"[0.7482, 0.7566, 0.7969, 0.7843, 0.7462]"
SVM-linear C=0.1,1.0,0.7661,0.0343,"[0.7584, 0.7504, 0.803, 0.805, 0.7139]"
SVM-linear C=10.0,0.3,0.7644,0.0238,"[0.7308, 0.7655, 0.7957, 0.7839, 0.7459]"
SVM-linear C=0.1,3.0,0.7603,0.0326,"[0.7547, 0.7282, 0.7809, 0.812, 0.726]"
LR C=1.0,1.0,0.7601,0.0323,"[0.7641, 0.7272, 0.7915, 0.7983, 0.7193]"
LGBM n=300 lr=0.05 leaves=15,0.01,0.76,0.0202,"[0.7805, 0.7532, 0.7267, 0.7815, 0.758]"
LR C=1.0,3.0,0.7583,0.0371,"[0.7615, 0.7115, 0.795, 0.8024, 0.7212]"
LGBM n=300 lr=0.05 leaves=31,0.01,0.7539,0.0159,"[0.766, 0.7562, 0.7356, 0.7754, 0.7362]"
LGBM n=300 lr=0.1 leaves=31,0.01,0.75,0.0177,"[0.7677, 0.7532, 0.7301, 0.7701, 0.729]"
LGBM n=300 lr=0.1 leaves=15,0.01,0.7476,0.0208,"[0.7562, 0.7438, 0.715, 0.7791, 0.7436]"
LR C=10.0,3.0,0.7461,0.0394,"[0.7598, 0.6926, 0.7797, 0.7915, 0.7068]"
SVM-linear C=1.0,1.0,0.7443,0.0324,"[0.7594, 0.7146, 0.7716, 0.7787, 0.6973]"
LR C=10.0,1.0,0.7424,0.0349,"[0.76, 0.7009, 0.7728, 0.7788, 0.6997]"
SVM-linear C=10.0,3.0,0.741,0.0416,"[0.7674, 0.686, 0.7703, 0.7858, 0.6956]"
SVM-linear C=1.0,3.0,0.7396,0.0409,"[0.7615, 0.686, 0.7694, 0.7858, 0.6951]"
SVM-linear C=10.0,1.0,0.7345,0.0383,"[0.7619, 0.6817, 0.7631, 0.7715, 0.6942]"
