case_key,vendor,model,spacing_z,thick_mm,th_bin
138666cb46bd,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
a16579dbc8f0,SIEMENS,Skyra,1.5,1.5,thin<=2.0
5838d6e88995,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
477458e38d12,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
40b5bb37d574,SIEMENS,Verio,1.7,1.7,thin<=2.0
b94c5f2ebbea,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
e47ced952e8b,SIEMENS,Verio,1.5,1.5,thin<=2.0
f3a196a5af83,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
8e0a7d7e6b35,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
2b967f6ab4ea,SIEMENS,Skyra,1.5,1.5,thin<=2.0
ee39836ca8ce,SIEMENS,Skyra,1.5,1.5,thin<=2.0
e7d1f43ac378,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
2d1d9d21d5c7,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
97aab5cfcaff,SIEMENS,Skyra,1.5,1.5,thin<=2.0
fe5d7ba3733a,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
0faba67cfde3,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
4c6b574aa71e,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
95e698110cbd,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
af9b0c84fecf,SIEMENS,Skyra,1.5,1.5,thin<=2.0
88cb99866bca,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
3c11e4a0cfc1,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
368ffca7d7e4,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
62b7c4668574,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
dc64e96d152a,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
6ee87a5ce315,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
1e0601ba678b,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
b459c1bff9dc,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
0622bb5b8015,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
5392ba4ee125,SIEMENS,Skyra,1.5,1.5,thin<=2.0
a4d46d25cb7c,SIEMENS,Skyra,1.5,1.5,thin<=2.0
d922213f4d88,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
08a4935c8c92,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
e3163dcffe6c,SIEMENS,Skyra,1.5,1.5,thin<=2.0
d9c27d296b5a,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
01e4c1108ec8,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
78d29c1d75c9,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
3a76bd4ed2d9,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
263f4553c41e,SIEMENS,Skyra,1.5,1.5,thin<=2.0
d9790dd112e1,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
4eb65d7f7441,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
2fbf0f6d64ee,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
53c11012a545,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
0f2a3dadf005,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
e9192606e2f7,SIEMENS,Skyra,1.5,1.5,thin<=2.0
3f701a6f45ca,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
308d5c51bee3,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
403e628e9c9b,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
4e3b4ca41dd4,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
d37f6460b2cb,SIEMENS,Verio,1.5,1.5,thin<=2.0
c28927001d5d,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
f568fdad09a4,SIEMENS,Skyra,1.5,1.5,thin<=2.0
52a47f894781,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
2e8a2377be76,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
fb1785d0e253,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
f23d7e5e63b9,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
5a1b5635d637,SIEMENS,Verio,1.5,1.5,thin<=2.0
eedd62111dbb,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
5b571281bb87,SIEMENS,Verio,1.5,1.5,thin<=2.0
e2f2c59b7741,SIEMENS,Skyra,1.5,1.5,thin<=2.0
fb1f40325bdd,SIEMENS,Skyra,1.5,1.5,thin<=2.0
4cba025752d6,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
a91f1ae6e4a0,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
f59f3fdfb0e5,SIEMENS,Skyra,1.5,1.5,thin<=2.0
56fa0dd09d7d,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
1fa340fcc20b,SIEMENS,Skyra,1.5,1.5,thin<=2.0
04949d8a3b46,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
63b23b5e50f0,SIEMENS,Skyra,1.5,1.5,thin<=2.0
ede59a1cddec,SIEMENS,Verio,1.5,1.5,thin<=2.0
322648852988,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
aa9f5b41fb96,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
5097155369bc,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
ec576d88c3df,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
ddae707d0218,SIEMENS,Skyra,1.5,1.5,thin<=2.0
5b86a8c63ed2,SIEMENS,Skyra,1.5,1.5,thin<=2.0
8787422be136,SIEMENS,Skyra,1.5,1.5,thin<=2.0
887032ffafcb,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
6b1b9d8f5cbb,SIEMENS,Verio,1.5,1.5,thin<=2.0
f098ffcaf4ba,SIEMENS,Skyra,1.5,1.5,thin<=2.0
034612ababb2,SIEMENS,Verio,1.5,1.5,thin<=2.0
2893a7a2b160,SIEMENS,Skyra,1.5,1.5,thin<=2.0
89800054a763,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
66c891d8992f,SIEMENS,Skyra,1.5,1.5,thin<=2.0
7f2b8f239432,SIEMENS,Verio,1.5,1.5,thin<=2.0
25c9dfeb6be8,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
1bbddd6fe930,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
4f9709867122,SIEMENS,Verio,1.5,1.5,thin<=2.0
b70b22a85d15,SIEMENS,Verio,1.5,1.5,thin<=2.0
ebce49ed9266,SIEMENS,Verio,1.5,1.5,thin<=2.0
ea0a5c759a0b,SIEMENS,Verio,1.5,1.5,thin<=2.0
da14efe15c8c,SIEMENS,Skyra,1.5,1.5,thin<=2.0
03740991934c,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
1aab8f7ddc54,SIEMENS,Verio,1.5,1.5,thin<=2.0
8565277db981,SIEMENS,Verio,1.5,1.5,thin<=2.0
74efcd245660,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
1e9ce88a21f3,SIEMENS,Verio,1.5,1.5,thin<=2.0
4393412ea33a,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
6a3ce5161e67,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
d48321846fbd,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
a8beab79352f,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
03bcdf54b39d,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
728f7872b8d7,SIEMENS,Skyra,1.5,1.5,thin<=2.0
90f791f1f106,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
5cec38323075,SIEMENS,Skyra,1.5,1.5,thin<=2.0
c92e6855e8ca,SIEMENS,Verio,1.5,1.5,thin<=2.0
f6f83792c825,SIEMENS,Skyra,1.5,1.5,thin<=2.0
b6c84222c5e7,SIEMENS,Skyra,1.5,1.5,thin<=2.0
5ccfc6c04db9,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
e93c3a960cae,SIEMENS,Verio,1.5,1.5,thin<=2.0
75d83f68218f,SIEMENS,Skyra,1.5,1.5,thin<=2.0
7d27a67e7bc8,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
a78a4ac13e60,SIEMENS,Verio,1.5,1.5,thin<=2.0
48f556e9716b,SIEMENS,Skyra,1.5,1.5,thin<=2.0
3d29ed664ece,SIEMENS,Skyra,1.5,1.5,thin<=2.0
bc3d94301e68,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
436d9c8320e8,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
f582c1c997a0,SIEMENS,Skyra,1.5,1.5,thin<=2.0
2f06d6981dc9,SIEMENS,Skyra,1.5,1.5,thin<=2.0
f97ddb3b9394,SIEMENS,Skyra,1.5,1.5,thin<=2.0
f039e273ea51,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
684a53312e66,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
afcbf22ee009,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
32188b5ef73a,SIEMENS,Skyra,1.5,1.5,thin<=2.0
d0fb3e85fef5,SIEMENS,Skyra,1.5,1.5,thin<=2.0
998122ed88bb,SIEMENS,Verio,1.5,1.5,thin<=2.0
87c6669eb287,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
5f37f42cc0ca,SIEMENS,Prisma,3.5,3.5,thick>3.2
527b379e987f,SIEMENS,Skyra,1.5,1.5,thin<=2.0
450be2904534,SIEMENS,Skyra,1.5,1.5,thin<=2.0
821e10b2516f,SIEMENS,Skyra,1.5,1.5,thin<=2.0
cd5eae6e5e92,SIEMENS,Skyra,1.5,1.5,thin<=2.0
e9a911ea0e12,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
643918bacc17,SIEMENS,Skyra,1.5,1.5,thin<=2.0
8ce8a6a6a22b,SIEMENS,Skyra,1.5,1.5,thin<=2.0
4214104a0eba,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
8a7e4782518b,SIEMENS,Prisma,1.5,1.5,thin<=2.0
63b44c03bcae,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
0360a62231bb,SIEMENS,Prisma,1.5,1.5,thin<=2.0
975655b923d7,SIEMENS,Skyra,1.5,1.5,thin<=2.0
6ee4966565c4,SIEMENS,Skyra,1.5,1.5,thin<=2.0
2f782947e427,SIEMENS,Skyra,1.5,1.5,thin<=2.0
2c98fb94f646,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
267524e73ae3,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
2ccb2686fccd,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
44b7f714c32f,SIEMENS,Skyra,1.5,1.5,thin<=2.0
e13fb5037f4f,SIEMENS,Skyra,1.5,1.5,thin<=2.0
2c0212ac9d73,SIEMENS,Skyra,1.5,1.5,thin<=2.0
2de35dd555ec,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
6b9dc0e11f89,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
406d3275d595,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
d799e566ee49,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
d4be3658286f,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
c76f2abed81b,SIEMENS,Prisma,1.5,1.5,thin<=2.0
a1a78523034b,GE MEDICAL SYSTEMS,SIGNA Architect,3.0,3.0,mid2.0-3.2
17322b6e997d,GE MEDICAL SYSTEMS,SIGNA Architect,3.0,3.0,mid2.0-3.2
eef2468a3ce4,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
58b3bf1ef162,SIEMENS,Prisma,1.5,1.5,thin<=2.0
328f99e7cd7f,SIEMENS,Prisma,1.5,1.5,thin<=2.0
63ab0b30ee71,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
b447b9750464,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
53b773673c09,SIEMENS,Prisma,1.5,1.5,thin<=2.0
1f7543143201,GE MEDICAL SYSTEMS,SIGNA Architect,3.0,3.0,mid2.0-3.2
5434d1aba526,SIEMENS,Skyra,1.5,1.5,thin<=2.0
37b65d39954c,SIEMENS,Prisma,1.5,1.5,thin<=2.0
ae6171342751,GE MEDICAL SYSTEMS,SIGNA Architect,3.0,3.0,mid2.0-3.2
