case_key,vendor,model,spacing_z,thick_mm,th_bin
a093146e4d24,SIEMENS,Verio,1.5,1.5,thin<=2.0
5778e6cb61ff,SIEMENS,Skyra,1.5,1.5,thin<=2.0
b7b50e59d4ca,SIEMENS,Skyra,1.5,1.5,thin<=2.0
9f800039e5e1,SIEMENS,Skyra,1.5,1.5,thin<=2.0
85e19a802868,SIEMENS,Skyra,1.5,1.5,thin<=2.0
e38210b3126c,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
5eea7feed281,SIEMENS,Skyra,1.5,1.5,thin<=2.0
e989abbf36d8,SIEMENS,Verio,1.5,1.5,thin<=2.0
1cd6eb490096,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
01808642f844,SIEMENS,Skyra,1.5,1.5,thin<=2.0
a191863396f3,SIEMENS,Prisma,1.5,1.5,thin<=2.0
15a09dda38e0,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
4116b6fd4742,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
08a7e0626868,SIEMENS,Prisma,1.5,1.5,thin<=2.0
39c7430a79f2,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
5adbc72b4704,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
60a6b7f94c56,SIEMENS,Prisma,1.5,1.5,thin<=2.0
c9f0be726f2a,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
5c66eb9daee0,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
1a76fcaf98fe,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
2a97283a6314,GE MEDICAL SYSTEMS,SIGNA Architect,3.0,3.0,mid2.0-3.2
7eba69717fb9,GE MEDICAL SYSTEMS,SIGNA Architect,3.0,3.0,mid2.0-3.2
34c3b2365896,SIEMENS,Skyra,1.5,1.5,thin<=2.0
dbccb6b7ea0a,GE MEDICAL SYSTEMS,SIGNA Architect,3.0,3.0,mid2.0-3.2
9e131cf6da2d,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
575269803635,SIEMENS,Skyra,1.5,1.5,thin<=2.0
b619abbd5eb8,SIEMENS,Verio,1.5,1.5,thin<=2.0
0091767fe390,SIEMENS,Skyra,1.5,1.5,thin<=2.0
bbf745b38dff,SIEMENS,Skyra,1.5,1.5,thin<=2.0
a640c1830874,SIEMENS,Skyra,1.5,1.5,thin<=2.0
087fe7982a43,SIEMENS,Verio,1.5,1.5,thin<=2.0
2444d3e3120f,SIEMENS,Skyra,1.5,1.5,thin<=2.0
903c1ba43b74,SIEMENS,Skyra,1.5,1.5,thin<=2.0
a738e1815315,SIEMENS,Skyra,1.5,1.5,thin<=2.0
fd757a11b021,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
b48d416bbfea,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
72f0e217ddfe,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
9b204e2097f4,SIEMENS,Prisma,1.5,1.5,thin<=2.0
4a2f7c9505c6,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
3c63f525b345,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
6cb6ebf3219b,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
943f878c20de,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
6a3b92c6de41,SIEMENS,Skyra,1.5,1.5,thin<=2.0
e266e5213aec,SIEMENS,Skyra,1.5,1.5,thin<=2.0
4326875b7d23,SIEMENS,Skyra,1.5,1.5,thin<=2.0
3f6fe7a866e0,SIEMENS,Skyra,1.5,1.5,thin<=2.0
cd59e73c73b3,SIEMENS,Prisma,1.5,1.5,thin<=2.0
21b9a2f10489,SIEMENS,Prisma,1.5,1.5,thin<=2.0
1b76dc107cbb,SIEMENS,Skyra,1.5,1.5,thin<=2.0
43c14335a622,GE MEDICAL SYSTEMS,SIGNA Architect,3.0,3.0,mid2.0-3.2
cf27ac90f118,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
f34f610570dc,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
9efe7c38d921,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
