family,n,d_vendor_med,d_vendor_p90,d_thick_med,d_thick_p90,frac_vendor_gt08,frac_thick_gt08
original|glrlm,16,0.20469215240963157,1.0414468278787639,0.8027601545019383,1.769295335199274,0.125,0.5
wavelet-HLH|glcm,24,0.14104120419274496,2.273537648004652,0.7787935466936,2.049503220245825,0.3333333333333333,0.5
wavelet-HHH|glszm,16,0.5366760479621357,0.7103265659938418,0.6994307256909791,1.0076309654908557,0.0625,0.3125
wavelet-LHL|glrlm,16,1.0030837101033867,1.5196647572781496,0.6756224971996854,1.2597662781970935,0.625,0.4375
log-sigma-1-0-mm-3D|firstorder,18,0.47848760143352764,0.7241304724625522,0.6751860467606299,1.4094130963560991,0.05555555555555555,0.3888888888888889
log-sigma-5-0-mm-3D|firstorder,18,0.13532619199584928,0.2320336242561968,0.6589922160246338,0.877800017966362,0.0,0.16666666666666666
log-sigma-3-0-mm-3D|gldm,14,0.4855713699260701,0.7659787820048842,0.6480304890816718,1.0668037525217853,0.07142857142857142,0.5
wavelet-LLL|gldm,14,0.37402608911488633,1.3946292195477554,0.6189594821655197,1.5658149875883902,0.2857142857142857,0.2857142857142857
original|gldm,14,0.4242578922804694,1.3673396525919381,0.6100103985079253,1.5790182827781425,0.35714285714285715,0.35714285714285715
wavelet-LHL|gldm,14,0.2507889406465584,1.2118749544905183,0.6021649491352974,0.8718607039502655,0.35714285714285715,0.21428571428571427
wavelet-LLL|glrlm,16,0.288883963136718,1.1051100099312958,0.5872579361482624,1.1162193500579782,0.125,0.375
log-sigma-4-0-mm-3D|firstorder,18,0.16140497670331966,0.22165280415579386,0.5822424211547712,0.8487533514506125,0.0,0.2777777777777778
wavelet-HHL|firstorder,18,0.21635399407280287,0.4246514592215484,0.5674870069702723,0.7758700440482783,0.0,0.1111111111111111
wavelet-LLL|glcm,24,0.5710370956225774,1.2289185765658304,0.49541986209361893,0.7157029302063899,0.16666666666666666,0.041666666666666664
log-sigma-2-0-mm-3D|gldm,14,0.4434970532240059,0.8574618918980177,0.4895798493639485,1.2033390778752204,0.14285714285714285,0.35714285714285715
log-sigma-1-0-mm-3D|gldm,14,0.298228189635362,1.142253537350744,0.4862070800680129,2.707038093541559,0.35714285714285715,0.42857142857142855
original|firstorder,18,0.5504523677019322,1.2837296330683172,0.4829584311383974,1.0272556380377362,0.3333333333333333,0.2222222222222222
log-sigma-3-0-mm-3D|firstorder,18,0.13200337783740712,0.2874079803277967,0.47798923852844144,0.724047735253262,0.0,0.05555555555555555
